Subject,Experiment,targetobject,targetaction,block,accuracy,Subjecta
1,nounverb,p1.bmp,Swing,1,0,101
1,nounverb,p8.bmp,Hide,1,1,101
1,nounverb,p6.bmp,Expand,1,0,101
1,nounverb,p1.bmp,Rise,1,1,101
1,nounverb,p3.bmp,Expand,1,1,101
1,nounverb,p2.bmp,Bounce,1,1,101
1,nounverb,p8.bmp,Shake,1,0,101
1,nounverb,p4.bmp,Bounce,1,0,101
1,nounverb,p3.bmp,Rise,1,1,101
1,nounverb,p6.bmp,Shake,1,0,101
1,nounverb,p6.bmp,Contract,1,0,101
1,nounverb,p1.bmp,Expand,1,0,101
1,nounverb,p4.bmp,Shake,1,0,101
1,nounverb,p2.bmp,Rotate,1,1,101
1,nounverb,p2.bmp,Hide,1,0,101
1,nounverb,p8.bmp,Bounce,1,1,101
1,nounverb,p5.bmp,Swing,1,0,101
1,nounverb,p7.bmp,Swing,1,0,101
1,nounverb,p7.bmp,Contract,1,0,101
1,nounverb,p5.bmp,Rise,1,1,101
1,nounverb,p3.bmp,Contract,1,0,101
1,nounverb,p7.bmp,Hide,1,0,101
1,nounverb,p4.bmp,Rotate,1,0,101
1,nounverb,p5.bmp,Rotate,1,0,101
1,nounverb,p5.bmp,Bounce,2,0,101
1,nounverb,p8.bmp,Expand,2,1,101
1,nounverb,p8.bmp,Bounce,2,1,101
1,nounverb,p7.bmp,Contract,2,0,101
1,nounverb,p2.bmp,Swing,2,1,101
1,nounverb,p5.bmp,Rise,2,1,101
1,nounverb,p1.bmp,Rise,2,0,101
1,nounverb,p4.bmp,Rotate,2,1,101
1,nounverb,p4.bmp,Swing,2,0,101
1,nounverb,p4.bmp,Hide,2,1,101
1,nounverb,p2.bmp,Contract,2,1,101
1,nounverb,p1.bmp,Shake,2,1,101
1,nounverb,p6.bmp,Rise,2,1,101
1,nounverb,p3.bmp,Expand,2,1,101
1,nounverb,p6.bmp,Shake,2,0,101
1,nounverb,p7.bmp,Rotate,2,0,101
1,nounverb,p5.bmp,Contract,2,0,101
1,nounverb,p3.bmp,Hide,2,0,101
1,nounverb,p6.bmp,Hide,2,0,101
1,nounverb,p7.bmp,Swing,2,1,101
1,nounverb,p3.bmp,Bounce,2,0,101
1,nounverb,p1.bmp,Expand,2,1,101
1,nounverb,p2.bmp,Rotate,2,0,101
1,nounverb,p8.bmp,Shake,2,1,101
1,nounverb,p8.bmp,Swing,3,0,101
1,nounverb,p1.bmp,Expand,3,0,101
1,nounverb,p8.bmp,Contract,3,1,101
1,nounverb,p7.bmp,Shake,3,0,101
1,nounverb,p7.bmp,Bounce,3,1,101
1,nounverb,p2.bmp,Expand,3,1,101
1,nounverb,p4.bmp,Contract,3,1,101
1,nounverb,p6.bmp,Bounce,3,1,101
1,nounverb,p5.bmp,Contract,3,1,101
1,nounverb,p5.bmp,Shake,3,0,101
1,nounverb,p1.bmp,Rise,3,0,101
1,nounverb,p2.bmp,Hide,3,1,101
1,nounverb,p2.bmp,Rise,3,0,101
1,nounverb,p8.bmp,Rotate,3,1,101
1,nounverb,p1.bmp,Rotate,3,1,101
1,nounverb,p5.bmp,Swing,3,1,101
1,nounverb,p6.bmp,Shake,3,1,101
1,nounverb,p7.bmp,Swing,3,1,101
1,nounverb,p3.bmp,Hide,3,1,101
1,nounverb,p3.bmp,Rotate,3,1,101
1,nounverb,p6.bmp,Hide,3,1,101
1,nounverb,p3.bmp,Rise,3,0,101
1,nounverb,p4.bmp,Bounce,3,0,101
1,nounverb,p4.bmp,Expand,3,1,101
1,nounverb,p7.bmp,Hide,4,1,101
1,nounverb,p3.bmp,Shake,4,1,101
1,nounverb,p3.bmp,Swing,4,0,101
1,nounverb,p3.bmp,Rotate,4,1,101
1,nounverb,p5.bmp,Contract,4,0,101
1,nounverb,p4.bmp,Contract,4,0,101
1,nounverb,p4.bmp,Expand,4,0,101
1,nounverb,p6.bmp,Swing,4,0,101
1,nounverb,p7.bmp,Rise,4,1,101
1,nounverb,p8.bmp,Hide,4,1,101
1,nounverb,p1.bmp,Bounce,4,1,101
1,nounverb,p1.bmp,Hide,4,0,101
1,nounverb,p7.bmp,Swing,4,1,101
1,nounverb,p8.bmp,Expand,4,1,101
1,nounverb,p2.bmp,Bounce,4,0,101
1,nounverb,p8.bmp,Rise,4,0,101
1,nounverb,p5.bmp,Bounce,4,1,101
1,nounverb,p2.bmp,Shake,4,1,101
1,nounverb,p2.bmp,Contract,4,0,101
1,nounverb,p5.bmp,Rotate,4,0,101
1,nounverb,p6.bmp,Rise,4,0,101
1,nounverb,p6.bmp,Expand,4,1,101
1,nounverb,p4.bmp,Shake,4,1,101
1,nounverb,p1.bmp,Rotate,4,0,101
1,nounverb,p5.bmp,Hide,5,0,101
1,nounverb,p7.bmp,Swing,5,1,101
1,nounverb,p2.bmp,Expand,5,0,101
1,nounverb,p8.bmp,Contract,5,1,101
1,nounverb,p4.bmp,Hide,5,1,101
1,nounverb,p6.bmp,Shake,5,1,101
1,nounverb,p6.bmp,Contract,5,1,101
1,nounverb,p4.bmp,Swing,5,0,101
1,nounverb,p1.bmp,Shake,5,1,101
1,nounverb,p3.bmp,Rise,5,1,101
1,nounverb,p7.bmp,Rotate,5,1,101
1,nounverb,p5.bmp,Contract,5,1,101
1,nounverb,p8.bmp,Rise,5,0,101
1,nounverb,p3.bmp,Bounce,5,1,101
1,nounverb,p4.bmp,Bounce,5,0,101
1,nounverb,p2.bmp,Shake,5,0,101
1,nounverb,p6.bmp,Bounce,5,0,101
